Date,time,Allocate memory,%used
2020/10/31,23:57:45,1604159865,28.975
2020/10/31,23:54:45,1604159685,29.1521
2020/10/31,23:51:46,1604159506,29.1743
2020/10/31,23:48:45,1604159325,29.1402
2020/10/31,23:45:45,1604159145,29.2647
2020/10/31,23:42:45,1604158965,32.4504
2020/10/31,23:39:45,1604158785,32.0434
2020/10/31,23:36:45,1604158605,28.6646
2020/10/31,23:33:45,1604158425,28.6526
2020/10/31,23:30:45,1604158245,28.69
2020/10/31,23:27:45,1604158065,28.7397
2020/10/31,23:24:45,1604157885,29.4536
2020/10/31,23:21:45,1604157705,36.4365
2020/10/31,23:18:45,1604157525,28.4255
2020/10/31,23:15:45,1604157345,28.4397
2020/10/31,23:12:45,1604157165,47.2841
2020/10/31,23:09:45,1604156985,42.4009
2020/10/31,23:06:46,1604156806,28.5816
2020/10/31,23:03:45,1604156625,37.2331
2020/10/31,23:00:45,1604156445,28.5331
2020/10/31,22:57:46,1604156266,28.7349
2020/10/31,22:54:46,1604156086,28.7761
2020/10/31,22:51:45,1604155905,28.7051
2020/10/31,22:48:46,1604155726,30.8753
2020/10/31,22:45:45,1604155545,30.6847
2020/10/31,22:42:46,1604155366,31.1014
2020/10/31,22:39:45,1604155185,31.1166
2020/10/31,22:36:45,1604155005,31.1586
2020/10/31,22:33:45,1604154825,31.2616
2020/10/31,22:30:45,1604154645,31.1283
2020/10/31,22:27:45,1604154465,31.0978
2020/10/31,22:24:45,1604154285,31.1054
2020/10/31,22:21:45,1604154105,30.021
2020/10/31,22:18:45,1604153925,30.0477
2020/10/31,22:15:45,1604153745,29.9494
2020/10/31,22:12:45,1604153565,30.6035
2020/10/31,22:09:45,1604153385,26.9961
2020/10/31,22:06:45,1604153205,26.952
2020/10/31,22:03:45,1604153025,27.0114
2020/10/31,22:00:45,1604152845,26.9578
2020/10/31,21:57:45,1604152665,27.0026
2020/10/31,21:54:45,1604152485,26.9386
2020/10/31,21:51:46,1604152306,26.9298
2020/10/31,21:48:45,1604152125,26.9278
2020/10/31,21:45:45,1604151945,28.7973
2020/10/31,21:42:45,1604151765,30.8048
2020/10/31,21:39:45,1604151585,29.0392
