Date,Time,Time2,Memory Used
10/30/2020,11:57:30,PM,48.9638
10/30/2020,11:54:30,PM,48.4987
10/30/2020,11:51:30,PM,48.623
10/30/2020,11:48:30,PM,48.5236
10/30/2020,11:45:33,PM,48.5316
10/30/2020,11:42:30,PM,48.6487
10/30/2020,11:39:30,PM,48.8479
10/30/2020,11:36:30,PM,48.4765
10/30/2020,11:33:30,PM,48.4188
10/30/2020,11:30:30,PM,47.9188
10/30/2020,11:27:30,PM,47.7847
10/30/2020,11:24:30,PM,48.3147
10/30/2020,11:21:30,PM,48.2701
10/30/2020,11:18:30,PM,48.5123
10/30/2020,11:15:30,PM,47.9295
10/30/2020,11:12:30,PM,47.7966
10/30/2020,11:09:30,PM,47.5027
10/30/2020,11:06:30,PM,47.5645
10/30/2020,11:03:30,PM,47.3836
10/30/2020,11:00:30,PM,47.2742
10/30/2020,10:57:30,PM,47.4445
10/30/2020,10:54:30,PM,48.0413
10/30/2020,10:51:30,PM,47.1867
10/30/2020,10:48:30,PM,47.1821
10/30/2020,10:45:30,PM,46.7457
10/30/2020,10:42:30,PM,46.264
10/30/2020,10:39:30,PM,46.2132
10/30/2020,10:36:30,PM,46.9303
10/30/2020,10:33:30,PM,46.6465
10/30/2020,10:30:30,PM,46.5933
10/30/2020,10:27:30,PM,47.5693
10/30/2020,10:24:30,PM,47.761
10/30/2020,10:21:30,PM,47.4587
10/30/2020,10:18:30,PM,47.3774
10/30/2020,10:15:30,PM,47.5387
10/30/2020,10:12:30,PM,47.6687
10/30/2020,10:09:30,PM,47.3492
10/30/2020,10:06:30,PM,47.4537
10/30/2020,10:03:30,PM,47.2258
10/30/2020,10:00:30,PM,47.7267
10/30/2020,09:57:30,PM,47.5159
10/30/2020,09:54:30,PM,47.0247
10/30/2020,09:51:30,PM,47.0632
10/30/2020,09:48:30,PM,47.0661
10/30/2020,09:45:30,PM,47.1876
10/30/2020,09:42:30,PM,47.2501
10/30/2020,09:39:30,PM,47.0364
10/30/2020,09:36:30,PM,46.8461
10/30/2020,09:33:30,PM,46.3838
10/30/2020,09:30:30,PM,46.3393
10/30/2020,09:27:30,PM,46.5178
10/30/2020,09:24:30,PM,46.5169
10/30/2020,09:21:30,PM,47.2924
10/30/2020,09:18:30,PM,47.06
10/30/2020,09:15:30,PM,47.2851
10/30/2020,09:12:30,PM,47.2313
10/30/2020,09:09:30,PM,47.4166
10/30/2020,09:06:30,PM,47.4194
10/30/2020,09:03:30,PM,45.5921
10/30/2020,09:00:30,PM,45.8035
10/30/2020,08:57:30,PM,45.3652
10/30/2020,08:54:30,PM,45.626
10/30/2020,08:51:30,PM,46.058
10/30/2020,08:48:30,PM,46.0457
10/30/2020,08:45:30,PM,46.0299
10/30/2020,08:42:30,PM,45.8371
10/30/2020,08:39:30,PM,45.9464
10/30/2020,08:36:30,PM,46.1088
10/30/2020,08:33:30,PM,45.9492
10/30/2020,08:30:30,PM,45.8921
10/30/2020,08:27:30,PM,46.3125
10/30/2020,08:24:30,PM,46.1093
10/30/2020,08:21:30,PM,46.1601
10/30/2020,08:18:30,PM,45.975
10/30/2020,08:15:30,PM,45.8665
10/30/2020,08:12:30,PM,46.1386
10/30/2020,08:09:30,PM,46.357
10/30/2020,08:06:30,PM,45.7472
10/30/2020,08:03:30,PM,46.418
10/30/2020,08:00:30,PM,46.3798
10/30/2020,07:57:30,PM,46.3977
10/30/2020,07:54:30,PM,46.0047
10/30/2020,07:51:30,PM,45.4233
10/30/2020,07:48:30,PM,45.4796
10/30/2020,07:45:30,PM,45.608
10/30/2020,07:42:30,PM,45.3395
10/30/2020,07:39:30,PM,45.2944
10/30/2020,07:36:30,PM,45.1586
10/30/2020,07:33:30,PM,45.2904
10/30/2020,07:30:30,PM,45.5183
10/30/2020,07:27:30,PM,45.5528
10/30/2020,07:24:30,PM,45.3174
10/30/2020,07:21:30,PM,45.2978
10/30/2020,07:18:30,PM,45.4184
10/30/2020,07:15:30,PM,45.4903
10/30/2020,07:12:30,PM,45.4108
10/30/2020,07:09:30,PM,45.1349
10/30/2020,07:06:30,PM,45.1218
10/30/2020,07:03:30,PM,45.1402
10/30/2020,07:00:30,PM,44.9657
10/30/2020,06:57:30,PM,44.897
10/30/2020,06:54:30,PM,45.3908
10/30/2020,06:51:30,PM,45.1797
10/30/2020,06:48:30,PM,45.6329
10/30/2020,06:45:30,PM,47.2245
10/30/2020,06:42:30,PM,47.2639
10/30/2020,06:39:30,PM,47.1944
10/30/2020,06:36:30,PM,47.178
10/30/2020,06:33:30,PM,47.2565
10/30/2020,06:30:30,PM,47.0538
10/30/2020,06:27:30,PM,47.2703
10/30/2020,06:24:30,PM,47.3702
10/30/2020,06:21:30,PM,47.3351
10/30/2020,06:18:30,PM,47.2503
10/30/2020,06:15:30,PM,47.2016
10/30/2020,06:12:30,PM,47.1536
10/30/2020,06:09:30,PM,48.0694
10/30/2020,06:06:30,PM,47.9852
10/30/2020,06:03:30,PM,47.8804
10/30/2020,06:00:30,PM,48.0459
10/30/2020,05:57:30,PM,48.0449
10/30/2020,05:54:30,PM,47.9094
10/30/2020,05:51:30,PM,48.343
10/30/2020,05:48:30,PM,48.1424
10/30/2020,05:45:30,PM,48.0669
10/30/2020,05:42:30,PM,48.1372
10/30/2020,05:39:30,PM,47.9127
10/30/2020,05:36:30,PM,48.2428
10/30/2020,05:33:30,PM,49.1698
10/30/2020,05:30:30,PM,49.2189
10/30/2020,05:27:30,PM,49.3566
10/30/2020,05:24:30,PM,49.0637
10/30/2020,05:21:30,PM,49.0006
10/30/2020,05:18:30,PM,48.91
10/30/2020,05:15:30,PM,49.0747
10/30/2020,05:12:30,PM,49.034
10/30/2020,05:09:30,PM,49.2221
10/30/2020,05:06:30,PM,49.1002
10/30/2020,05:03:30,PM,48.8781
10/30/2020,05:00:30,PM,48.3674
10/30/2020,04:57:30,PM,48.4364
10/30/2020,04:54:30,PM,48.2446
10/30/2020,04:51:31,PM,50.9332
10/30/2020,04:48:30,PM,50.5486
10/30/2020,04:45:30,PM,50.4354
10/30/2020,04:42:30,PM,51.0614
10/30/2020,04:39:30,PM,51.1616
10/30/2020,04:36:30,PM,51.0474
10/30/2020,04:33:30,PM,50.9545
10/30/2020,04:30:30,PM,50.5812
10/30/2020,04:27:30,PM,50.4913
10/30/2020,04:24:30,PM,49.8077
10/30/2020,04:21:30,PM,49.9435
10/30/2020,04:18:30,PM,50.9547
10/30/2020,04:15:30,PM,51.0953
10/30/2020,04:12:30,PM,51.0581
10/30/2020,04:09:30,PM,50.4508
10/30/2020,04:06:30,PM,50.5328
10/30/2020,04:03:30,PM,50.4504
10/30/2020,04:00:30,PM,50.5725
10/30/2020,03:57:30,PM,50.2613
10/30/2020,03:54:30,PM,50.3958
10/30/2020,03:51:30,PM,50.5637
10/30/2020,03:48:30,PM,49.4805
10/30/2020,03:45:30,PM,49.6153
10/30/2020,03:42:30,PM,49.363
10/30/2020,03:39:30,PM,49.2762
10/30/2020,03:36:30,PM,49.2877
10/30/2020,03:33:30,PM,49.2127
10/30/2020,03:30:30,PM,49.3057
10/30/2020,03:27:30,PM,49.189
10/30/2020,03:24:30,PM,49.2378
10/30/2020,03:21:30,PM,49.4047
10/30/2020,03:18:30,PM,48.9269
10/30/2020,03:15:30,PM,48.9435
10/30/2020,03:12:30,PM,48.8525
10/30/2020,03:09:30,PM,48.8884
10/30/2020,03:06:30,PM,48.5135
10/30/2020,03:03:30,PM,49.3552
10/30/2020,03:00:30,PM,48.6808
10/30/2020,02:57:30,PM,49.0315
10/30/2020,02:54:30,PM,48.2676
10/30/2020,02:51:30,PM,48.2395
10/30/2020,02:48:30,PM,48.2953
10/30/2020,02:45:30,PM,48.2626
10/30/2020,02:42:30,PM,48.4585
10/30/2020,02:39:30,PM,48.3887
10/30/2020,02:36:30,PM,48.5569
10/30/2020,02:33:30,PM,47.1736
10/30/2020,02:30:30,PM,48.1373
10/30/2020,02:27:30,PM,47.8189
10/30/2020,02:24:30,PM,47.8606
10/30/2020,02:21:30,PM,47.6577
10/30/2020,02:18:30,PM,47.5876
10/30/2020,02:15:30,PM,47.3419
10/30/2020,02:12:30,PM,47.4874
10/30/2020,02:09:30,PM,47.2615
10/30/2020,02:06:30,PM,47.1716
10/30/2020,02:03:30,PM,47.1869
10/30/2020,02:00:30,PM,46.9764
10/30/2020,01:57:30,PM,46.793
10/30/2020,01:54:30,PM,46.352
10/30/2020,01:51:30,PM,46.3704
10/30/2020,01:48:30,PM,46.8373
