Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 17:27,9.9005,2021/3/10 17:30,0.5687
2021/3/10 17:24,9.815,2021/3/10 17:27,0.4063
2021/3/10 17:21,9.8561,2021/3/10 17:24,0.5024
2021/3/10 17:18,9.7844,2021/3/10 17:21,0.4618
2021/3/10 17:15,10.1473,2021/3/10 17:18,0.473
2021/3/10 17:12,9.7616,2021/3/10 17:15,0.7397
2021/3/10 17:09,9.8281,2021/3/10 17:12,0.3979
2021/3/10 17:06,10.1496,2021/3/10 17:09,0.3657
2021/3/10 17:03,9.9674,2021/3/10 17:06,0.4575
2021/3/10 17:00,10.1473,2021/3/10 17:03,0.4362
2021/3/10 16:57,9.7761,2021/3/10 17:00,0.531
2021/3/10 16:54,9.8719,2021/3/10 16:57,0.4212
2021/3/10 16:51,9.9519,2021/3/10 16:54,0.3873
2021/3/10 16:48,9.8518,2021/3/10 16:51,0.4662
2021/3/10 16:45,10.1878,2021/3/10 16:48,0.4853
2021/3/10 16:42,9.8204,2021/3/10 16:45,0.5922
2021/3/10 16:39,9.8192,2021/3/10 16:42,0.3764
2021/3/10 16:36,9.9399,2021/3/10 16:39,0.2932
2021/3/10 16:33,9.8741,2021/3/10 16:36,0.6477
2021/3/10 16:30,9.9507,2021/3/10 16:33,0.3128
2021/3/10 16:27,9.8724,2021/3/10 16:30,0.5602
2021/3/10 16:24,9.9421,2021/3/10 16:27,0.5471
2021/3/10 16:21,9.9364,2021/3/10 16:24,0.3914
2021/3/10 16:18,9.8588,2021/3/10 16:21,0.5259
2021/3/10 16:15,10.1863,2021/3/10 16:18,0.3336
2021/3/10 16:12,9.8898,2021/3/10 16:15,0.5794
2021/3/10 16:09,9.9806,2021/3/10 16:12,0.481
2021/3/10 16:06,9.9541,2021/3/10 16:09,0.3742
2021/3/10 16:03,9.8571,2021/3/10 16:06,1.0607
2021/3/10 16:00,10.2118,2021/3/10 16:03,0.362
2021/3/10 15:57,10.4282,2021/3/10 16:00,0.5735
2021/3/10 15:54,10.6573,2021/3/10 15:57,0.2776
