Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 17:47,14.8676,2021/3/10 17:49,6.5614
2021/3/10 17:44,15.2876,2021/3/10 17:46,2.2537
2021/3/10 17:41,15.0759,2021/3/10 17:43,4.9168
2021/3/10 17:38,14.2084,2021/3/10 17:40,11.4486
2021/3/10 17:35,14.634,2021/3/10 17:37,4.3611
2021/3/10 17:32,18.618,2021/3/10 17:34,4.991
2021/3/10 17:29,14.8838,2021/3/10 17:31,27.285
2021/3/10 17:26,14.769,2021/3/10 17:28,3.3462
2021/3/10 17:23,14.6874,2021/3/10 17:25,2.1308
2021/3/10 17:20,14.3032,2021/3/10 17:22,1.2557
2021/3/10 17:17,13.3924,2021/3/10 17:19,5.6234
2021/3/10 17:14,14.0024,2021/3/10 17:16,1.1075
2021/3/10 17:11,14.0189,2021/3/10 17:13,0.8686
2021/3/10 17:08,14.4121,2021/3/10 17:10,13.35
2021/3/10 17:05,15.0744,2021/3/10 17:07,0.9205
2021/3/10 17:02,15.0479,2021/3/10 17:04,3.6658
2021/3/10 16:59,15.1448,2021/3/10 17:01,0.9026
2021/3/10 16:56,14.5946,2021/3/10 16:58,12.3009
2021/3/10 16:53,14.8333,2021/3/10 16:55,1.96
2021/3/10 16:50,13.2604,2021/3/10 16:52,0.9676
2021/3/10 16:47,13.4359,2021/3/10 16:49,9.0975
2021/3/10 16:44,16.5989,2021/3/10 16:46,9.6392
2021/3/10 16:41,14.553,2021/3/10 16:43,3.0689
2021/3/10 16:38,14.0747,2021/3/10 16:40,2.2914
2021/3/10 16:35,14.5491,2021/3/10 16:37,1.7226
2021/3/10 16:32,14.6979,2021/3/10 16:34,1.0093
2021/3/10 16:29,16.4104,2021/3/10 16:31,6.8323
2021/3/10 16:26,14.2371,2021/3/10 16:28,8.9697
2021/3/10 16:23,15.5833,2021/3/10 16:25,4.0416
2021/3/10 16:20,19.185,2021/3/10 16:22,6.0964
2021/3/10 16:17,15.4512,2021/3/10 16:19,10.7557
2021/3/10 16:14,14.2552,2021/3/10 16:16,13.6528
2021/3/10 16:11,13.7458,2021/3/10 16:13,0.9178
2021/3/10 16:08,13.5804,2021/3/10 16:10,3.6186
2021/3/10 16:05,14.6994,2021/3/10 16:07,0.8796
2021/3/10 16:02,15.2512,2021/3/10 16:04,4.0931
2021/3/10 15:59,13.5144,2021/3/10 16:01,7.6243
2021/3/10 15:56,13.0078,2021/3/10 15:58,14.7972
2021/3/10 15:53,13.8072,2021/3/10 15:55,1.0743
2021/3/10 15:50,14.0399,2021/3/10 15:52,4.273
2021/3/10 15:47,12.9224,2021/3/10 15:49,2.3931
2021/3/10 15:44,13.3476,2021/3/10 15:46,0.8395
2021/3/10 15:41,13.3565,2021/3/10 15:43,0.9004
2021/3/10 15:38,13.8673,2021/3/10 15:40,2.2359
2021/3/10 15:35,12.9878,2021/3/10 15:37,1.3493
2021/3/10 15:32,13.9734,2021/3/10 15:34,1.0592
2021/3/10 15:29,12.8585,2021/3/10 15:31,1.6994
2021/3/10 15:26,18.3883,2021/3/10 15:28,1.3241
2021/3/10 15:23,13.891,2021/3/10 15:25,36.744
2021/3/10 15:20,14.2513,2021/3/10 15:22,10.1296
2021/3/10 15:17,12.9679,2021/3/10 15:19,13.3065
2021/3/10 15:14,13.0648,2021/3/10 15:16,6.8595
2021/3/10 15:11,14.32,2021/3/10 15:13,0.7768
2021/3/10 15:08,14.3161,2021/3/10 15:10,8.6251
2021/3/10 15:05,15.3529,2021/3/10 15:07,1.1644
2021/3/10 15:02,16.7925,2021/3/10 15:04,3.5207
2021/3/10 14:59,15.3218,2021/3/10 15:01,1.4277
2021/3/10 14:56,14.8752,2021/3/10 14:58,10.8844
2021/3/10 14:53,13.6013,2021/3/10 14:55,5.1741
2021/3/10 14:50,13.733,2021/3/10 14:52,3.9805
2021/3/10 14:47,14.6863,2021/3/10 14:49,2.1144
2021/3/10 14:44,14.9342,2021/3/10 14:46,16.0926
2021/3/10 14:41,14.8744,2021/3/10 14:43,5.7099
2021/3/10 14:38,15.3783,2021/3/10 14:40,1.3431
2021/3/10 14:35,15.2654,2021/3/10 14:37,14.4208
2021/3/10 14:32,15.2252,2021/3/10 14:34,5.9399
2021/3/10 14:29,13.7188,2021/3/10 14:31,6.9789
2021/3/10 14:26,15.669,2021/3/10 14:28,8.1095
2021/3/10 14:23,14.8978,2021/3/10 14:25,7.6045
2021/3/10 14:20,15.2744,2021/3/10 14:22,9.5363
2021/3/10 14:17,14.7305,2021/3/10 14:19,2.0254
2021/3/10 14:14,14.9395,2021/3/10 14:16,12.0053
2021/3/10 14:11,15.5427,2021/3/10 14:13,0.8074
2021/3/10 14:08,14.9322,2021/3/10 14:10,2.9597
2021/3/10 14:05,14.066,2021/3/10 14:07,2.2165
2021/3/10 14:02,14.0567,2021/3/10 14:04,2.7857
2021/3/10 13:59,13.9868,2021/3/10 14:01,3.4488
2021/3/10 13:56,15.2196,2021/3/10 13:58,1.3567
2021/3/10 13:53,14.1877,2021/3/10 13:55,5.7224
2021/3/10 13:50,14.2097,2021/3/10 13:52,0.9686
2021/3/10 13:47,13.9682,2021/3/10 13:49,8.2519
2021/3/10 13:44,15.3156,2021/3/10 13:46,5.753
2021/3/10 13:41,15.0415,2021/3/10 13:43,5.318
2021/3/10 13:38,15.7266,2021/3/10 13:40,5.8741
2021/3/10 13:35,16.0175,2021/3/10 13:37,1.5385
2021/3/10 13:32,14.073,2021/3/10 13:34,7.6885
2021/3/10 13:29,17.6086,2021/3/10 13:31,1.7621
2021/3/10 13:26,18.3274,2021/3/10 13:28,5.9267
2021/3/10 13:23,17.7146,2021/3/10 13:25,2.0555
2021/3/10 13:20,15.0351,2021/3/10 13:22,13.0142
2021/3/10 13:17,19.3136,2021/3/10 13:19,1.209
2021/3/10 13:14,14.4418,2021/3/10 13:16,4.7987
2021/3/10 13:11,15.1985,2021/3/10 13:13,6.1946
2021/3/10 13:08,12.8573,2021/3/10 13:10,1.809
2021/3/10 13:05,17.0233,2021/3/10 13:07,1.3559
2021/3/10 13:02,22.0748,2021/3/10 13:04,2.063
2021/3/10 12:59,14.3305,2021/3/10 13:01,13.0998
2021/3/10 12:56,14.6977,2021/3/10 12:58,5.3691
2021/3/10 12:53,14.1514,2021/3/10 12:55,1.344
2021/3/10 12:50,14.2657,2021/3/10 12:52,6.9238
2021/3/10 12:47,15.753,2021/3/10 12:49,4.6084
2021/3/10 12:44,13.3252,2021/3/10 12:46,9.4949
2021/3/10 12:41,14.3509,2021/3/10 12:43,1.908
2021/3/10 12:38,14.1186,2021/3/10 12:40,1.3407
2021/3/10 12:35,14.7804,2021/3/10 12:37,7.5901
2021/3/10 12:32,14.6084,2021/3/10 12:34,5.8986
