Date time,Memory %used,Date time,CPU utilization (%)
2021/3/8 19:13,62.6658,2021/3/8 19:19,32.4487
2021/3/8 19:10,62.38,2021/3/8 19:16,27.8162
2021/3/8 19:07,62.2747,2021/3/8 19:13,33.9702
2021/3/8 19:04,60.6973,2021/3/8 19:10,25.6247
2021/3/8 19:01,61.8288,2021/3/8 19:07,25.2851
2021/3/8 18:58,60.9285,2021/3/8 19:04,24.492
2021/3/8 18:55,61.1062,2021/3/8 19:01,22.5133
2021/3/8 18:52,64.4474,2021/3/8 18:58,39.5523
2021/3/8 18:49,62.4876,2021/3/8 18:55,45.3248
2021/3/8 18:46,63.303,2021/3/8 18:52,63.1927
2021/3/8 18:43,61.8391,2021/3/8 18:49,32.5529
2021/3/8 18:40,61.742,2021/3/8 18:46,32.3903
2021/3/8 18:37,62.0246,2021/3/8 18:43,50.209
2021/3/8 18:34,64.3615,2021/3/8 18:40,26.1861
2021/3/8 18:31,66.223,2021/3/8 18:37,22.0274
2021/3/8 18:28,61.0325,2021/3/8 18:34,35.5475
2021/3/8 18:25,61.2411,2021/3/8 18:31,17.1147
2021/3/8 18:22,61.8136,2021/3/8 18:28,17.7138
2021/3/8 18:19,60.6369,2021/3/8 18:25,21.2357
2021/3/8 18:16,61.9238,2021/3/8 18:22,48.1614
2021/3/8 18:13,60.2362,2021/3/8 18:19,21.8023
2021/3/8 18:10,63.0285,2021/3/8 18:16,29.0847
2021/3/8 18:07,61.2143,2021/3/8 18:13,45.7088
2021/3/8 18:04,60.0738,2021/3/8 18:10,29.4696
2021/3/8 18:01,59.6302,2021/3/8 18:07,19.793
2021/3/8 17:58,60.7166,2021/3/8 18:04,26.9416
2021/3/8 17:55,59.1236,2021/3/8 18:01,50.1266
2021/3/8 17:52,61.2153,2021/3/8 17:58,45.6094
2021/3/8 17:49,60.7727,2021/3/8 17:55,38.8945
2021/3/8 17:46,64.8149,2021/3/8 17:52,54.7413
2021/3/8 17:43,66.6405,2021/3/8 17:49,28.2168
2021/3/8 17:40,64.5232,2021/3/8 17:46,25.6441
2021/3/8 17:37,64.5073,2021/3/8 17:43,38.6154
2021/3/8 17:34,64.7305,2021/3/8 17:40,28.3186
2021/3/8 17:31,66.7284,2021/3/8 17:37,21.8224
2021/3/8 17:28,66.0297,2021/3/8 17:34,36.3483
2021/3/8 17:25,65.7813,2021/3/8 17:31,28.6947
2021/3/8 17:22,65.5242,2021/3/8 17:28,24.7243
